Date,Open,High,Low,Close,Volume
2023-01-01,1.0800,1.0820,1.0785,1.0810,450000
2023-01-02,1.0810,1.0835,1.0795,1.0825,520000
2023-01-03,1.0825,1.0840,1.0800,1.0815,480000
2023-01-04,1.0815,1.0845,1.0810,1.0835,610000
2023-01-05,1.0835,1.0860,1.0825,1.0850,580000
2023-01-06,1.0850,1.0865,1.0830,1.0845,490000
2023-01-07,1.0845,1.0870,1.0840,1.0855,510000
2023-01-08,1.0855,1.0875,1.0845,1.0860,540000
2023-01-09,1.0860,1.0880,1.0850,1.0870,590000
2023-01-10,1.0870,1.0890,1.0855,1.0875,620000
2023-01-11,1.0875,1.0895,1.0865,1.0885,550000
2023-01-12,1.0885,1.0900,1.0870,1.0890,560000
2023-01-13,1.0890,1.0910,1.0875,1.0895,580000
2023-01-14,1.0895,1.0915,1.0885,1.0905,600000
2023-01-15,1.0905,1.0920,1.0890,1.0910,570000
2023-01-16,1.0910,1.0930,1.0895,1.0915,610000
2023-01-17,1.0915,1.0935,1.0905,1.0925,590000
2023-01-18,1.0925,1.0940,1.0910,1.0930,620000
2023-01-19,1.0930,1.0950,1.0920,1.0940,640000
2023-01-20,1.0940,1.0955,1.0925,1.0945,580000
2023-01-21,1.0945,1.0965,1.0935,1.0955,610000
2023-01-22,1.0955,1.0970,1.0940,1.0960,590000
2023-01-23,1.0960,1.0980,1.0950,1.0970,630000
2023-01-24,1.0970,1.0985,1.0955,1.0975,600000
2023-01-25,1.0975,1.0995,1.0965,1.0985,650000
2023-01-26,1.0985,1.1000,1.0970,1.0990,620000
2023-01-27,1.0990,1.1010,1.0980,1.1000,660000
2023-01-28,1.1000,1.1015,1.0985,1.1005,640000
2023-01-29,1.1005,1.1025,1.0995,1.1015,680000
2023-01-30,1.1015,1.1030,1.1000,1.1020,650000
2023-01-31,1.1020,1.1040,1.1010,1.1030,670000
2023-02-01,1.1030,1.1045,1.1015,1.1035,640000
2023-02-02,1.1035,1.1055,1.1025,1.1045,680000
2023-02-03,1.1045,1.1060,1.1030,1.1050,660000
2023-02-04,1.1050,1.1070,1.1040,1.1060,700000
2023-02-05,1.1060,1.1075,1.1045,1.1065,680000
2023-02-06,1.1065,1.1085,1.1055,1.1075,720000
2023-02-07,1.1075,1.1090,1.1060,1.1080,690000
2023-02-08,1.1080,1.1100,1.1070,1.1090,730000
2023-02-09,1.1090,1.1105,1.1075,1.1095,710000
2023-02-10,1.1095,1.1115,1.1085,1.1105,750000
2023-02-11,1.1105,1.1120,1.1090,1.1110,720000
2023-02-12,1.1110,1.1130,1.1100,1.1120,760000
2023-02-13,1.1120,1.1135,1.1105,1.1125,740000
2023-02-14,1.1125,1.1145,1.1115,1.1135,780000
2023-02-15,1.1135,1.1150,1.1120,1.1140,750000
2023-02-16,1.1140,1.1160,1.1130,1.1150,790000
2023-02-17,1.1150,1.1165,1.1135,1.1155,770000
2023-02-18,1.1155,1.1175,1.1145,1.1165,810000
2023-02-19,1.1165,1.1180,1.1150,1.1170,780000
2023-02-20,1.1170,1.1190,1.1160,1.1180,820000
